file,file-chromo,file inter chromo,chromo - file
out2165,3,0,1
out2167,3,0,1
out2169,3,0,1
out2171,3,0,1
out2172,3,0,1
out2173,3,0,1
out2174,3,0,1
out2175,3,0,1
out2176,3,0,1
out2178,3,0,1
out2179,3,0,1
out2180,3,0,1
out2182,3,0,1
out2184,3,0,1
out2185,3,0,1
out2186,3,0,1
out2188,3,0,1
out2190,3,0,1
out2191,3,0,1
out2193,3,0,1
out2196,3,0,1
out2197,3,0,1
out2198,3,0,1
out2200,3,0,1
out2203,3,0,1
out2204,3,0,1
out2206,3,0,1
out2207,3,0,1
out2208,3,0,1
out2209,3,0,1
out2210,3,0,1
out2213,3,0,1
out2214,3,0,1
out2215,3,0,1
out2216,3,0,1
out2217,3,0,1
out2219,3,0,1
out2221,3,0,1
out2224,3,0,1
out2225,3,0,1
out2226,3,0,1
out2227,3,0,1
out2228,3,0,1
out2229,3,0,1
out2231,3,0,1
out2232,3,0,1
out2234,3,0,1
out2236,3,0,1
out2237,3,0,1
out2238,3,0,1
out2239,3,0,1
out2242,3,0,1
out2244,3,0,1
out2245,3,0,1
out2246,3,0,1
out2247,3,0,1
out2249,3,0,1
out2250,3,0,1
out2251,3,0,1
out2252,3,0,1
out2254,3,0,1
out2255,3,0,1
out2256,3,0,1
out2257,3,0,1
out2259,3,0,1
out2260,3,0,1
out2261,3,0,1
out2263,3,0,1
out2267,3,0,1
out2268,3,0,1
out2269,3,0,1
out2270,3,0,1
out2271,3,0,1
out2272,3,0,1
out2273,3,0,1
out2274,3,0,1
out2275,3,0,1
out2276,3,0,1
out2277,3,0,1
out2279,3,0,1
out2280,3,0,1
out2281,3,0,1
out2282,3,0,1
out2283,3,0,1
out2284,3,0,1
out2285,3,0,1
out2286,3,0,1
out2287,3,0,1
out2288,3,0,1
out2289,3,0,1
out2291,3,0,1
out2294,3,0,1
out2296,3,0,1
out2299,3,0,1
out2302,3,0,1
out2303,3,0,1
out2305,3,0,1
out2306,3,0,1
out2308,3,0,1
out2309,3,0,1
out2310,3,0,1
out2311,3,0,1
out2312,3,0,1
out2315,3,0,1
out2316,3,0,1
out2317,3,0,1
out2318,3,0,1
out2319,3,0,1
out2320,3,0,1
out2321,3,0,1
out2322,3,0,1
out2323,3,0,1
out2324,3,0,1
out2325,3,0,1
out2327,3,0,1
out2328,3,0,1
out2329,3,0,1
out2330,3,0,1
out2332,3,0,1
out2333,3,0,1
out2334,3,0,1
out2335,3,0,1
out2336,3,0,1
out2339,3,0,1
out2340,3,0,1
out2341,3,0,1
out2343,3,0,1
out2344,3,0,1
out2345,3,0,1
out2346,3,0,1
out2351,3,0,1
out2352,3,0,1
out2353,3,0,1
out2354,3,0,1
out2356,3,0,1
out2358,3,0,1
out2359,3,0,1
out2360,3,0,1
out2361,3,0,1
out2362,3,0,1
out2363,3,0,1
out2364,3,0,1
out2365,3,0,1
out2366,3,0,1
out2367,3,0,1
out2369,3,0,1
out2370,3,0,1
out2372,3,0,1
out2373,3,0,1
out2375,3,0,1
out2377,3,0,1
out2378,3,0,1
out2379,3,0,1
out2381,3,0,1
out2384,3,0,1
out2385,3,0,1
out2386,3,0,1
out2387,3,0,1
out2390,3,0,1
out2391,3,0,1
out2392,3,0,1
out2393,3,0,1
out2394,3,0,1
out2395,3,0,1
out2396,3,0,1
out2397,3,0,1
out2400,3,0,1
out2401,3,0,1
out2405,3,0,1
out2407,3,0,1
out2408,3,0,1
out2410,3,0,1
out2411,3,0,1
out2412,3,0,1
out2413,3,0,1
out2416,3,0,1
out2417,3,0,1
out2418,3,0,1
out2419,3,0,1
out2420,3,0,1
out2421,3,0,1
out2422,3,0,1
out2423,3,0,1
out2425,3,0,1
out2426,3,0,1
out2427,3,0,1
out2428,3,0,1
out2430,3,0,1
out2431,3,0,1
out2432,3,0,1
out2434,3,0,1
out2435,3,0,1
out2436,3,0,1
out2437,3,0,1
out2439,3,0,1
out2440,3,0,1
out2441,3,0,1
out2442,3,0,1
out2444,3,0,1
out2445,3,0,1
out2446,3,0,1
out2447,3,0,1
out2448,3,0,1
out2449,3,0,1
out2450,3,0,1
out2451,3,0,1
out2452,3,0,1
out2453,3,0,1
out2454,3,0,1
out2457,3,0,1
out2458,3,0,1
out2460,3,0,1
out2461,3,0,1
out2463,3,0,1
out2465,3,0,1
out2466,3,0,1
out2467,3,0,1
out2468,3,0,1
out2469,3,0,1
out2470,3,0,1
out2472,3,0,1
out2473,3,0,1
out2474,3,0,1
out2475,3,0,1
out2477,3,0,1
out2478,3,0,1
out2479,3,0,1
out2480,3,0,1
out2482,3,0,1
out2483,3,0,1
out2484,3,0,1
out2485,3,0,1
out2486,3,0,1
out2489,3,0,1
out2490,3,0,1
out2491,3,0,1
out2492,3,0,1
out2493,3,0,1
out2494,3,0,1
