spen	Sulf1
bib	Sulf1
knrl	Sulf1
Ark	Sulf1
Pi3K92E	Sulf1
v	Sulf1
numb	Sulf1
betaTub56D	Sulf1
ine	CG3987
up	CG3987
CG8247	CG3987
Stat92E	CG3987
Mhc	CG3987
MED11	CG3987
tll	Abd-B
bib	Abd-B
sina	Abd-B
Ca-alpha1D	Abd-B
inv	Abd-B
chif	Abd-B
Glycogenin	Abd-B
Dscam	Abd-B
Mmp2	Abd-B
CG18369	Uba1
mbl	Uba1
sno	Uba1
CadN	Uba1
Eip71CD	Uba1
CG34417	Uba1
ics	Uba1
kkv	Uba1
tou	Uba1
LCBP1	Uba1
BicD	Uba1
Abl	bigmax
fal	bigmax
wus	bigmax
dj	bigmax
p53	bigmax
dec-1	bigmax
fax	NAT1
Hs6st	NAT1
shot	NAT1
G-oalpha47A	wupA
raw	wupA
Sin3A	wupA
Wnt5	wupA
Cip4	wupA
Pk61C	wupA
wupA	Vps28
Pak	G-oalpha47A
drk	G-oalpha47A
th	G-oalpha47A
caup	G-oalpha47A
bcd	G-oalpha47A
LanB1	G-salpha60A
sprt	G-salpha60A
Tab2	G-salpha60A
aft	G-salpha60A
Ggamma1	G-salpha60A
eg	G-salpha60A
MED11	dsf
140up	dsf
Apc2	dsf
CG10641	dsf
Optix	dsf
mmy	dsf
Dys	dsf
Cp1	dsf
Fmr1	dsf
Cks30A	dsf
Moe	dsf
bowl	dsf
RhoGAPp190	Khc
Optix	Khc
Patj	Khc
bs	Khc
Nrx-IV	Khc
Atpalpha	Khc
Rab5	Khc
dsf	CG10641
twi	CG10641
CG13850	CG10641
eIF-4E	CG10641
ecd	CG10641
fred	CG10641
l(1)G0289	Alk
Sb	Alk
PhKgamma	Alk
Eip71CD	Alk
Pak	Alk
p53	Alk
CSN4	ey
Wnt5	ey
NetB	ey
bcd	ey
SelG	ey
sax	ey
opa	noc
bnb	noc
eIF-4a	noc
CG6416	noc
hkl	ix
hkb	ix
nmo	ix
Bap60	ix
E2f2	ix
snf	ix
trio	ix
her	ix
CdsA	ix
foxo	Optix
knrl	Optix
dsf	Optix
Khc	Optix
lilli	Optix
spin	Optix
bs	Optix
Fas3	Optix
par-1	Optix
ecd	Optix
dlg1	Optix
Rack1	sdt
peb	sdt
hyd	sdt
sar1	sdt
CG13850	sdt
Pvf1	sdt
gro	sdt
how	Sxl
gl	Sxl
eIF-4a	Sxl
18w	rib
jar	rib
trn	rib
RhoGAP68F	rib
Mitf	rib
Cyt-c-d	rib
CG9520	sas
rad50	sas
Hem	sas
toe	sas
mbt	sas
CG32082	sas
ksr	sas
Moe	sas
bnl	sas
zfh2	Scgdelta
enok	Scgdelta
Galpha73B	Scgdelta
qua	sw
MED4	sw
Apc2	sw
sktl	sw
Ef1gamma	sw
ken	sw
fred	sw
rux	fal
bigmax	fal
spin	fal
sprt	fal
CG1942	fal
tral	fal
cnc	ea
ftz-f1	ea
PhKgamma	ea
Psn	Ice
v	Ice
scyl	Ice
fw	cic
CG4945	Dok
eff	Dok
grp	Dok
