sav	scra
G-salpha60A	tub
alpha-Spec	LanB1
aft	LanB1
her	nmo
Mmp2	nmo
srp	ics
spir	ics
Idgf4	ics
Sh	ics
Atg6	ics
Pk92B	oaf
ALiX	oaf
morgue	oaf
Pink1	oaf
tkv	oaf
toy	oaf
Dif	drm
phyl	drm
cact	RpL30
gl	how
ex	how
Idgf1	how
msi	how
CG2678	how
lola	dei
flfl	dei
Dp	CG1244
CG12301	CG1244
fs(1)K10	CG1244
amx	CG1244
drm	CG1244
Taf4	CG1244
dl	CG1244
numb	CG1244
Rca1	CG1244
hyx	CG1244
pcm	CG1244
Arc-p34	CG1244
Dif	CG1244
CG3075	CG1244
apt	Chc
